"Era","Name","Notes","Track Length","File Date","Leak Date","Available Length","Quality","Link(s)"
"NOTHINGS DIFFERENT ﹤/3","Break
(prod. DT)
(Get Smoked)","Advertised as an unbounced song which uses the same instrumental as ""No Smoke."" It is actually a stem edit made using takes from the No Smoke session. Bought by Tragic and leaked for free alongside its vocal takes on December 8th, 2025.","4:04","Dec 2017","Dec 8, 2025","Full","High Quality","https://pixeldrain.com/u/vKsQ24cV"
"NOTHINGS DIFFERENT ﹤/3","Christian
(prod. JRHITMAKER & Nick Mira)
(Nothing Good)","Advertised as an unbounced song which uses the same instrumental as ""Insanity."" It is actually a stem edit made using takes from the Insanity session. Leaked alongside its vocal takes on July 27th, 2025.","3:02","Dec 2, 2017","Jul 27, 2025","Full","High Quality","https://pixeldrain.com/u/5cKBGSzw"
"NOTHINGS DIFFERENT ﹤/3","In The Stu
(prod. DT & Nick Mira)
(Treat)","Stem edit made using vocal takes from the All Burnt Up session. Previewed by Jowy on October 8th, 2025. Another snippet leaked on December 9th, 2025. It would then be previewed again by Jowy on January 4th, 2026, and it was finally put out of its misery on January 21st, 2026.","2:49","N/A","Jan 21, 2026","Full","High Quality","https://pixeldrain.com/u/AybLoZih"
"NOTHINGS DIFFERENT ﹤/3","iPhone
(prod. DT & Klimax Productions)","Stem edit made using takes from the ""Miracle"" session. Also uses the same instrumental as Miracle. Leaked on January 25th, 2026.","2:53","N/A","Jan 25, 2026","Full","High Quality","https://pixeldrain.com/u/RwitrMSi"
"NOTHINGS DIFFERENT ﹤/3","My Money
(prod. TheBeatAsylum)","Session edit for ""My Money"" previewed by @vaultofjuice in an Instagram live on March 19th, 2025. Leaked on July 25th, 2025. PTX bounces from the session leaked on January 26th, 2026, revealing this was a structured edit made using the session.","3:12","Dec 2017","Jul 25, 2025","Full","High Quality","https://pixeldrain.com/u/crFzm3Vk"
"NOTHINGS DIFFERENT ﹤/3","One Time
(prod. The Beat Asylum)","Third stem edit made using the ""My Money"" session. Sold by Googly to an unknown buyer. Leaked on January 26th, 2026.","3:50","N/A","Jan 26, 2026","Full","High Quality","https://pixeldrain.com/u/Tt7rug4N"
"NOTHINGS DIFFERENT ﹤/3","Sidekick [V1]
(prod. Nick Mira & Robin Guthrie)
(Motorbike, Soldier)","Earliest, open verse mix of Sidekick which people assumed to be the exact version Juice WRLD previewed on the day of its recording. Leaked alongside the two other versions in a bundle on June 10th, 2025.","4:25","Nov 23, 2017","Jun 10, 2025","Full","High Quality","https://pixeldrain.com/u/JJ3Dvbex"
"NOTHINGS DIFFERENT ﹤/3","Sidekick [V2]
(prod. Nick Mira & Robin Guthrie)
(Motorbike, Soldier)","Faked earlier mix of Sidekick which leaked alongside the other two versions in a bundle on June 10th, 2025.","4:35","Jan 2018","Jun 10, 2025","Full","High Quality","https://pixeldrain.com/u/FnTBcpYn"
"NOTHINGS DIFFERENT ﹤/3","⭐ Sidekick [V3]
(prod. Nick Mira & Robin Guthrie)
(Motorbike, Soldier)","Anticipated song which Juice WRLD previewed on November 23rd, 2017. The snippet captured the hook used in this edit, and after the snippet he starts a completely new take and song. 7 years later, it leaked on May 14th, 2025, after a successful $20,000 groupbuy. The takes used in the verses cannot be found within the ""Soldier"" session, and are likely taken from another GB&GR era session we do not have.","4:16","Jan 2018","May 14, 2025","Full","High Quality","https://pixeldrain.com/u/wCABaBPp"
"NOTHINGS DIFFERENT ﹤/3","Smoke A Half
(prod. The Beat Asylum)","Stem edit made using the ""My Money"" session sold by Googly to Jowy. Leaked on July 10th, 2025, after a successful $13,000 groupbuy.","2:57","Jan 2018","Jul 10, 2025","Full","High Quality","https://pixeldrain.com/u/aBotgBUJ"
"Goodbye & Good Riddance","Hands Behind Your Back","Stem edit which leaked on January 25th, 2026.","3:12","N/A","Jan 25, 2026","Full","High Quality","https://pixeldrain.com/u/Sv9X3zDg"
"Goodbye & Good Riddance","Juicy","Structured and mixed version of ""Juicy"" bounced from the session. Leaked on January 25th, 2026.","3:06","N/A","Jan 25, 2026","Full","High Quality","https://pixeldrain.com/u/ZFtzhtXy"
"Goodbye & Good Riddance","Kirby's Selecta
(prod. Styn)","Extended version of Kirby's Selecta made using redacted takes from the ""Break"" session. Leaked on January 25th, 2026.","5:59","N/A","Jan 25, 2026","Full","High Quality","https://pixeldrain.com/u/v54apdf1"
"Goodbye & Good Riddance","Migraine
(prod. Nick Mira)
(Tusk)","Full mix of Migraine which was sold by Googly to Cold as a real song. It is unbounced and vocal takes were added to the sold file from another session, the real PTX bounces for the song leaked on January 26th, 2025.","3:31","N/A","Jan 24, 2026","Full","High Quality","https://pixeldrain.com/u/eGxZpb8C"
"Goodbye & Good Riddance","⭐ Purple Rain
(prod. Nick Mira)","Stem edit made using takes from the ""Reach"" session which was sold by Googly to Jowy. Previewed by Jowy on December 9th, 2025. Another snippet leaked on December 21st, 2025. Cut file leaked on December 28th, 2025. The uncut file leaked a day after. Juice interpolates some lines from ""Never Switch."" Was said to have been a label stem edit similar to ""Neverland,"" however, the full Reach session leaked on January 25th, 2026, revealing the song was faked.","3:13","N/A","Dec 28, 2025","Full","High Quality","https://pixeldrain.com/u/FuogpbJ5"
"Goodbye & Good Riddance","Russian Roulette","Stem edit which leaked on January 25th, 2026.","2:10","N/A","Jan 25, 2026","Full","High Quality","https://pixeldrain.com/u/Bv6hoMvD"
"Goodbye & Good Riddance","✨ Unload*
(prod. Danny Wolf & Otxhello)
(Keep My Heart Closed)","Session edit for Unload with extra verses. Leaked on December 6th, 2025, after somebody was scammed for $6,000.","4:58","Feb 2018","Dec 6, 2025","Full","High Quality","https://pixeldrain.com/u/7T5RfhHv"
"Goodbye & Good Riddance","Where To Start","Stem edit which leaked on January 25th, 2026.","3:10","N/A","Jan 25, 2026","Full","High Quality","https://pixeldrain.com/u/e6wCBm8a"
"Goodbye & Good Riddance","Zooted Up [V1]
(prod. Nick Mira & Robin Guthrie)
(Soldier)","Rougher mix of Zooted Up. Leaked alongside the more developed mix on October 19th, 2025.","4:27","Dec 2017","Oct 19, 2025","Full","High Quality","https://pixeldrain.com/u/4fknmJyT"
"Goodbye & Good Riddance","Zooted Up [V2]
(prod. Nick Mira & Robin Guthrie)
(Soldier)","Mixed version of Zooted Up sold by Googly seperately from the ""Soldier"" session which leaked on October 19th, 2025.","4:21","Dec 2017","Oct 19, 2025","Full","High Quality","https://pixeldrain.com/u/x2pBuMZK"
"WRLD ON DRUGS","Never Sleep
(prod. Murda Beatz)
(Piguet Drip)","Song which was advertised as an unbounced throwaway by Googly who sold it to Jowy. Jowy then previewed it on December 22nd, 2025. The session leaked on January 25th, 2026, revealing the song to be fully unstructured.","4:20","N/A","Jan 25, 2026","Full","High Quality","https://pixeldrain.com/u/WqbeeJHC"
"Death Race for Love","Cupid's Carcass","Stem edit that is believed by many to be real. Vocals come from ""Who Shot Cupid?"" sessions. Created and leaked sometime in 2024.","2:10","N/A","","Full","High Quality","https://pixeldrain.com/u/E552YXsP"
"Death Race for Love","Personality Disorder [V1]
(prod. Hit-Boy & G. Ry)
(Codeine Cowboys)","Fake ""v1"" edit for Personality Disorder sold by Googly for $30,000. Made using takes from the session. Leaked on January 7th, 2026.","2:28","N/A","Jan 7, 2026","Full","High Quality","https://pixeldrain.com/u/WG1NZSeQ"
"Death Race for Love","Cowboy Hunt","Stem edit that is believed by many to be real. Vocals come from ""Red Dead Redemption"" sessions. Created and leaked sometime in 2023.","3:11","N/A","","Full","Lossless","https://pixeldrain.com/u/qeNFWtMK"
"Death Race for Love","Won't Hurt
(prod. Bobby Raps, Charlie Handsome & Wheezy)
(Same Damn Night, Revive)","Fake ""v1"" edit for Won't Hurt previewed by @vaultofjuice in an Instagram live on March 19th, 2025. Leaked in full after a $15,000 groupbuy on April 26th, 2025.","","Jan 27, 2019","","Full","High Quality","https://pixeldrain.com/u/dDWiggaJ"
"Posthumous","Mo' Bucks
(with Seezyn) (prod. Marz)
(Sting)","Faked version of Mo Bucks advertised as a rebounce from 2025. Leaked on December 24th, 2025.","","N/A","Dec 24, 2025","Full","High Quality","https://pixeldrain.com/u/TAmqX3WP"
